time_ms, RPM, lambda_1, lambda_2, t_inj_1, t_inj_2, lambda_1_sum, lambda_2_sum, sweep
73680,0,1.47,nan,7233.84,7000,1134,0,1
73745,250,1.47,nan,7233.85,7000,97,0,1
73809,500,nan,nan,7000,7000,0,0,1
73874,750,nan,nan,7000,7000,0,0,1
73939,1000,nan,nan,7000,7000,0,0,1
74003,1250,1.47,nan,7233.85,7000,67,0,1
74068,1500,nan,nan,7000,7000,0,0,1
74132,1750,0.79,1.47,5892.71,6233.85,3060,119,1
74197,2000,0.37,0.91,5185.04,5500,1548,717,1
74262,2250,0.27,0.45,4936.05,5023.42,927,3129,1
74327,2500,0.27,0.31,4933.38,4952.84,639,2984,1
74391,2750,0.32,0.29,4958.49,4944.92,639,2414,1
74456,3000,0.29,0.27,4946.17,4937.46,658,2638,1
74520,3250,0.27,0.27,4933.73,4937.18,647,2361,1
74622,3500,0.27,0.28,4934.31,4937.59,731,2534,1
74686,3750,0.27,0.28,4933.93,4937.96,222,2674,1
74750,4000,nan,0.29,5300,4944.41,0,1096,1
74814,4250,nan,nan,5300,5300,0,0,1
74878,4500,nan,nan,5300,5300,0,0,1
74941,4750,nan,nan,5300,5300,0,0,1
75006,5000,nan,nan,4500,4500,0,0,1
75071,5250,nan,nan,4500,4500,0,0,1
75135,5500,nan,nan,4500,4500,0,0,1
75200,5750,nan,nan,4501,4501,0,0,1
75265,6000,nan,nan,4500,4500,0,0,1
120935,0,1.47,nan,7467.69,7000,1780,0,2
120999,250,1.47,nan,7467.7,7000,97,0,2
121064,500,nan,nan,7000,7000,0,0,2
121129,750,nan,nan,7000,7000,0,0,2
121193,1000,1.47,nan,7233.85,7000,78,0,2
121258,1250,1.47,nan,7467.7,7000,67,0,2
121322,1500,1.47,nan,7233.85,7000,62,0,2
121387,1750,0.58,1.47,5684.68,6467.7,6283,181,2
121517,2000,0.38,0.95,4876.3,5500,3146,1438,2
121581,2250,0.29,0.4,4578.95,4723.42,1694,6401,2
121645,2500,0.28,0.31,4572.65,4607.2,1371,5742,2
121709,2750,0.34,0.3,4630.48,4595.03,1234,5255,2
121773,3000,0.32,0.27,4607.22,4574.18,1286,5118,2
121838,3250,0.27,0.27,4568.45,4573.5,1437,4794,2
121902,3500,0.27,0.27,4569.35,4574.22,1297,5197,2
121967,3750,0.27,0.28,4569.05,4575.69,664,5397,2
122032,4000,nan,0.29,5300,4589.06,0,2342,2
122096,4250,nan,nan,5300,5300,0,0,2
122160,4500,nan,nan,5300,5300,0,0,2
122225,4750,nan,nan,5300,5300,0,0,2
122290,5000,nan,nan,4500,4500,0,0,2
122355,5250,nan,nan,4500,4500,0,0,2
122419,5500,nan,nan,4500,4500,0,0,2
122484,5750,nan,nan,4501,4501,0,0,2
122548,6000,nan,nan,4500,4500,0,0,2
168566,0,1.47,nan,7701.55,7000,2200,0,3
168631,250,1.47,nan,7701.55,7000,97,0,3
168696,500,nan,nan,7000,7000,0,0,3
168760,750,1.47,nan,7233.85,7000,90,0,3
168825,1000,1.47,nan,7467.7,7000,78,0,3
168889,1250,1.47,nan,7701.55,7000,132,0,3
168954,1500,1.47,1.47,7467.7,7233.85,62,71,3
169019,1750,0.49,1.47,5427.7,6701.55,9685,239,3
169084,2000,0.4,0.87,4574.35,5500,4690,2062,3
169148,2250,0.33,0.37,4245.55,4409.36,2421,9931,3
169212,2500,0.32,0.31,4234.94,4262.53,2073,8533,3
169277,2750,0.35,0.3,4303.79,4244.32,1947,8012,3
169342,3000,0.36,0.27,4289.38,4211.2,1985,7598,3
169406,3250,0.27,0.27,4204.91,4209.85,2082,7371,3
169471,3500,0.27,0.27,4205.9,4210.88,1995,7726,3
169535,3750,0.27,0.28,4205.63,4213.58,1106,8217,3
169600,4000,nan,0.29,5300,4233.5,0,3589,3
169664,4250,nan,nan,5300,5300,0,0,3
169756,4500,nan,nan,5300,5300,0,0,3
169820,4750,nan,nan,5300,5300,0,0,3
169884,5000,nan,nan,4500,4500,0,0,3
169948,5250,nan,nan,4500,4500,0,0,3
170011,5500,nan,nan,4500,4500,0,0,3
170075,5750,nan,nan,4501,4501,0,0,3
170140,6000,nan,nan,4500,4500,0,0,3
217821,0,1.47,nan,7935.41,7000,2614,0,4
217886,250,1.47,nan,7935.4,7000,97,0,4
217951,500,nan,nan,7000,7000,0,0,4
218015,750,1.47,nan,7467.7,7000,180,0,4
218080,1000,1.47,nan,7701.55,7000,78,0,4
218144,1250,1.47,nan,7935.4,7000,196,0,4
218209,1500,1.47,1.47,7701.55,7467.7,62,71,4
218274,1750,0.45,1.47,5150.32,6935.4,13316,361,4
218339,2000,0.43,0.73,4288.92,5364.77,6048,3000,4
218403,2250,0.42,0.38,3957.5,4100.87,3195,13202,4
218468,2500,0.39,0.33,3929.6,3928.91,2811,11465,4
218568,2750,0.37,0.3,3986.67,3896.65,2533,10720,4
218631,3000,0.36,0.27,3970.9,3848.62,2720,10076,4
218695,3250,0.28,0.27,3843.89,3846.56,2731,9948,4
218759,3500,0.27,0.27,3842.88,3847.45,2760,10447,4
218822,3750,0.27,0.28,3842.47,3851.57,1421,10979,4
218886,4000,nan,0.29,5300,3877.76,0,4892,4
218951,4250,nan,nan,5300,5300,0,0,4
219015,4500,nan,nan,5300,5300,0,0,4
219080,4750,nan,nan,5300,5300,0,0,4
219145,5000,nan,nan,4500,4500,0,0,4
219209,5250,nan,nan,4500,4500,0,0,4
219274,5500,nan,nan,4500,4500,0,0,4
219338,5750,nan,nan,4501,4501,0,0,4
219403,6000,nan,nan,4500,4500,0,0,4
269597,0,1.47,nan,8169.28,7000,2886,0,5
269661,250,1.47,nan,8169.25,7000,97,0,5
269725,500,nan,nan,7000,7000,0,0,5
269788,750,1.47,nan,7701.55,7000,275,0,5
269893,1000,1.47,nan,7935.4,7000,78,0,5
269956,1250,1.47,nan,8169.25,7000,262,0,5
270020,1500,1.47,1.47,7935.4,7701.55,62,71,5
270084,1750,0.46,1.47,4879.26,7169.26,17066,482,5
270148,2000,0.48,0.66,4029.16,5195.78,7460,3997,5
270212,2250,0.52,0.42,3718.38,3812.08,3966,16586,5
270276,2500,0.47,0.4,3666.38,3628.58,3551,14456,5
270341,2750,0.41,0.34,3693,3567.69,3164,13439,5
270406,3000,0.39,0.29,3664.36,3493.71,3417,12823,5
270470,3250,0.28,0.27,3484.88,3483.56,3445,12560,5
270534,3500,0.28,0.27,3480.58,3484.2,3490,13167,5
270599,3750,0.27,0.28,3479.92,3489.66,1704,13891,5
270663,4000,nan,0.29,5300,3522.22,0,6047,5
270728,4250,nan,nan,5300,5300,0,0,5
270793,4500,nan,nan,5300,5300,0,0,5
270858,4750,nan,nan,5300,5300,0,0,5
270922,5000,nan,nan,4500,4500,0,0,5
270986,5250,nan,nan,4500,4500,0,0,5
271051,5500,nan,nan,4500,4500,0,0,5
271149,5750,nan,nan,4501,4501,0,0,5
271213,6000,nan,nan,4500,4500,0,0,5
319135,0,1.47,nan,8403.14,7000,3219,0,6
319199,250,1.47,nan,8403.09,7000,97,0,6
319262,500,nan,nan,7000,7000,0,0,6
319326,750,1.47,nan,7935.4,7000,367,0,6
319391,1000,1.47,nan,8169.25,7000,78,0,6
319456,1250,1.47,nan,8403.1,7000,328,0,6
319520,1500,1.47,1.47,8169.25,7935.4,62,71,6
319585,1750,0.51,1.47,4634.98,7403.11,21080,607,6
319649,2000,0.54,0.63,3798.61,5008.96,8627,5068,6
319714,2250,0.64,0.49,3538.97,3555.21,4793,20011,6
319779,2500,0.58,0.5,3454.33,3379.03,4253,17531,6
319843,2750,0.49,0.42,3438.51,3279.68,3931,16235,6
319908,3000,0.44,0.36,3383.46,3174.41,4072,15578,6
319973,3250,0.33,0.31,3150.66,3140.7,4161,15138,6
320037,3500,0.31,0.29,3134.65,3128.16,4257,15988,6
320102,3750,0.29,0.28,3123.62,3128.11,2050,16677,6
320216,4000,nan,0.29,5300,3166.9,0,7233,6
320280,4250,nan,nan,5300,5300,0,0,6
320344,4500,nan,nan,5300,5300,0,0,6
320408,4750,nan,nan,5300,5300,0,0,6
320471,5000,nan,nan,4500,4500,0,0,6
320535,5250,nan,nan,4500,4500,0,0,6
320599,5500,nan,nan,4500,4500,0,0,6
320664,5750,nan,nan,4501,4501,0,0,6
320729,6000,nan,nan,4500,4500,0,0,6
542020,0,1.47,nan,8636.99,7100,123,0,7
542081,250,1.47,nan,8636.94,7100,110,0,7
542143,500,nan,nan,7100,7100,0,0,7
542204,750,1.47,nan,8169.26,7100,485,0,7
542266,1000,1.47,nan,8403.1,7100,258,0,7
542328,1250,nan,nan,8403.1,7100,0,0,7
542390,1500,nan,1.47,8169.25,8169.25,0,128,7
542452,1750,1.33,1.47,4798.25,7636.96,4027,78,7
542514,2000,1.47,1.06,4032.45,5008.96,1044,772,7
542576,2250,1.47,1.4,3772.82,3754.05,881,3456,7
542638,2500,1.47,1.47,3688.18,3612.9,740,2995,7
542700,2750,1.47,1.47,3672.37,3513.54,639,2922,7
542762,3000,1.47,1.47,3617.31,3408.28,772,2641,7
542825,3250,1.47,1.47,3384.4,3373.93,683,2757,7
542887,3500,1.47,1.41,3368.26,3332.26,672,2762,7
542949,3750,1.46,1.2,3354.58,3128.11,472,2742,7
543011,4000,nan,1.09,6067.7,3166.9,0,1222,7
543073,4250,nan,nan,5600,6652.59,0,0,7
543161,4500,nan,nan,5500,6653.61,0,0,7
543222,4750,nan,nan,5500,5500,0,0,7
543284,5000,nan,nan,4500,4500,0,0,7
543345,5250,nan,nan,4500,4500,0,0,7
543406,5500,nan,nan,4500,4500,0,0,7
543467,5750,nan,nan,4501,4501,0,0,7
543530,6000,nan,nan,4500,4500,0,0,7
594519,0,1.47,nan,8870.84,7100,856,0,8
594581,250,1.47,nan,8870.79,7100,110,0,8
594643,500,nan,nan,7100,7100,0,0,8
594705,750,1.47,nan,8403.11,7100,575,0,8
594767,1000,1.47,nan,8636.95,7100,258,0,8
594830,1250,1.47,nan,8636.95,7100,64,0,8
594892,1500,nan,1.47,8169.25,8403.1,0,198,8
594954,1750,1.21,1.47,4901.14,7870.81,7566,136,8
595016,2000,1.39,0.95,4227.53,5008.96,2404,1456,8
595078,2250,1.47,1.3,4006.66,3906.19,1711,6948,8
595140,2500,1.46,1.43,3918.31,3826.3,1389,6036,8
595266,2750,1.35,1.38,3847.53,3704.73,1407,5592,8
595327,3000,1.33,1.34,3782.5,3576.62,1352,5126,8
595388,3250,1.25,1.25,3508.46,3499.73,1510,5474,8
595449,3500,1.28,1.15,3505.99,3332.26,1203,5282,8
595511,3750,1.16,1.06,3354.58,3128.11,918,5447,8
595573,4000,nan,0.98,6067.7,3166.9,0,2525,8
595635,4250,nan,nan,5600,6652.59,0,0,8
595697,4500,nan,nan,5500,6653.61,0,0,8
595759,4750,nan,nan,5500,5500,0,0,8
595821,5000,nan,nan,4500,4500,0,0,8
595883,5250,nan,nan,4500,4500,0,0,8
595945,5500,nan,nan,4500,4500,0,0,8
596007,5750,nan,nan,4501,4501,0,0,8
596069,6000,nan,nan,4500,4500,0,0,8
659029,0,1.47,nan,9104.68,7100,1134,0,9
659090,250,1.47,nan,9104.64,7100,110,0,9
659151,500,1.47,nan,7333.85,7100,94,0,9
659247,750,1.47,nan,8636.96,7100,575,0,9
659309,1000,1.47,nan,8870.8,7100,258,0,9
659370,1250,1.47,nan,8870.8,7100,128,0,9
659431,1500,nan,1.47,8169.25,8636.95,0,267,9
659492,1750,1.06,1.47,4901.14,8104.66,11405,192,9
659554,2000,1.24,0.87,4345.25,5008.96,3628,2303,9
659616,2250,1.35,1.17,4180.89,3906.19,2440,10278,9
659678,2500,1.28,1.27,4060.29,3961.86,2095,8944,9
659740,2750,1.14,1.2,3847.53,3704.73,2132,8439,9
659802,3000,1.16,1.15,3782.5,3576.62,2014,7723,9
659864,3250,1.05,1.07,3508.46,3499.73,2297,8121,9
659926,3500,1.08,1,3505.99,3332.26,1735,7903,9
659988,3750,0.96,0.97,3354.58,3128.11,1392,8217,9
660050,4000,nan,0.9,6067.7,3166.9,0,3918,9
660112,4250,nan,nan,5600,6652.59,0,0,9
660174,4500,nan,nan,5500,6653.61,0,0,9
660236,4750,nan,nan,5500,5500,0,0,9
660298,5000,nan,nan,4500,4500,0,0,9
660359,5250,nan,nan,4500,4500,0,0,9
660444,5500,nan,nan,4500,4500,0,0,9
660507,5750,nan,nan,4501,4501,0,0,9
660569,6000,nan,nan,4500,4500,0,0,9
